Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,SF,Bernie Andre,SR,6-6,210,Vermont,Florida International,2021-22,Tennessee-Martin,OVC,25,614,16.0,0.522,0.465,6.3,21.8,13.8,6.2,0.9,1.8,12.3,21.8,237,106.2,104.7,1.0,0.7,1.6,-0.4,-2.0,-2.4,24.6,3.4,8.5,2.2,4.6,1.2,3.9,2.2,2.5,1.5,4.8,6.3,0.8,0.4,0.4,1.4,2.2,10.1
2.0,PF,Yor Anei,SR,-10,220,SMU,DePaul,2021-22,DePaul,Big East,30,462,19.2,0.5820000000000001,0.55,13.3,15.4,14.3,4.4,2.1,10.7,24.6,16.7,150,104.2,97.6,0.6,0.8,1.4,-0.7,3.2,2.5,15.4,1.8,3.3,1.8,3.1,0.0,0.2,1.0,1.4,1.9,2.2,4.1,0.4,0.6,1.6,1.3,2.0,4.6
2.0,SF,E.J. Anosike,SR,6-7,236,Tennessee,Cal State Fullerton,2021-22,Cal State Fullerton,Big West,32,1046,24.8,0.581,0.527,11.5,19.7,15.6,12.2,1.5,1.1,12.2,25.3,522,119.2,100.3,3.7,1.5,5.3,4.3,-1.0,3.3,32.7,5.9,11.4,5.6,10.4,0.3,0.9,4.3,5.5,3.1,5.3,8.3,1.8,0.8,0.3,1.9,2.5,16.3
2.0,SF,E.J. Anosike,SR,6-7,236,Tennessee,Cal State Fullerton,2020-21,Tennessee,SEC,22,188,11.4,0.4,0.342,13.5,12.1,12.8,5.7,2.5,0.6,9.5,14.1,48,102.3,94.8,0.2,0.4,0.5,-1.3,2.5,1.1,8.5,0.6,1.7,0.6,1.7,0.0,0.0,0.5,0.9,1.0,0.9,1.9,0.3,0.4,0.0,0.2,0.9,1.7
3.0,SG,Marco Anthony,RSSR,6-6,224,Utah State,Utah,2021-22,Utah,Pac-12,28,823,16.1,0.48,0.44,10.0,16.7,13.4,14.4,1.3,1.6,13.9,19.3,284,104.3,105.3,1.1,0.8,1.9,2.7,0.4,3.1,29.4,3.3,8.0,2.9,6.8,0.4,1.2,2.1,3.1,2.6,4.4,7.0,2.1,0.6,0.5,1.5,1.0,9.1
3.0,SG,Marco Anthony,RSSR,6-6,224,Utah State,Utah,2020-21,Utah State,MWC,28,896,13.4,0.486,0.457,5.3,11.6,8.5,17.8,1.6,1.6,16.5,18.8,297,102.0,94.3,1.0,1.8,2.9,0.4,2.4,2.8,32.0,3.6,8.8,2.9,6.6,0.8,2.2,2.0,3.3,1.5,3.3,4.8,3.1,0.9,0.4,2.0,1.8,10.0
2.0,SG,Adonis Arms,RS SR,6-5,200,Winthrop,Texas Tech,2021-22,Texas Tech,Big 12,37,955,16.7,0.5479999999999999,0.514,4.4,15.5,10.2,20.6,2.2,1.9,19.3,19.3,337,107.9,90.7,1.6,2.3,3.9,3.5,4.1,7.6,25.8,3.1,6.8,2.2,3.9,0.9,2.9,1.6,2.1,0.9,3.5,4.4,2.8,1.0,0.4,1.9,1.2,8.6
2.0,SG,Adonis Arms,RS SR,6-5,200,Winthrop,Texas Tech,2020-21,Winthrop,Big South,23,400,22.5,0.529,0.479,6.3,24.4,15.1,19.4,2.8,2.0,17.7,32.5,232,103.1,89.1,0.8,1.0,1.9,2.7,1.5,4.2,17.4,3.3,8.2,2.2,4.9,1.2,3.3,2.6,3.6,1.0,3.7,4.7,1.7,0.9,0.3,2.1,1.2,10.5
2.0,PG,Mo Arnold,JR,6-1,195,Jacksonville,Southern Miss,2020-21,Jacksonville,A-Sun,24,765,8.8,0.44,0.408,4.3,14.3,9.3,13.8,2.0,0.6,22.1,16.8,194,85.4,101.0,-0.3,1.1,0.8,-4.3,-0.8,-5.1,31.9,2.8,7.0,2.5,5.5,0.3,1.5,1.4,2.2,1.2,4.0,5.1,2.3,1.1,0.2,2.3,1.8,7.1
2.0,PG,Mo Arnold,JR,6-1,195,Jacksonville,Southern Miss,2021-22,Southern Mississippi,CUSA,27,506,3.6,0.415,0.402,2.1,9.7,5.9,17.8,1.5,0.5,34.2,13.6,91,71.9,112.3,-0.7,0.2,-0.5,-6.4,-2.3,-8.7,18.7,1.1,3.0,0.9,2.2,0.2,0.9,0.2,0.4,0.3,1.6,1.9,1.8,0.5,0.1,1.7,1.5,2.7
3.0,PF,Akol Arop,JR,6-5,203,Nebraska,Omaha,2021-22,Omaha,Summit,29,538,14.5,0.53,0.508,9.1,21.3,15.0,3.3,1.7,3.8,18.1,16.9,162,99.5,114.2,0.4,0.1,0.5,-1.9,-2.4,-4.3,18.6,2.2,4.5,2.1,4.1,0.1,0.4,0.9,1.3,1.5,3.3,4.9,0.3,0.6,0.7,1.1,1.7,5.4
5.0,PG,Devin Askew,RS FR,6-3,198,Kentucky,Texas,2021-22,Texas,Big 12,34,505,7.8,0.47700000000000004,0.462,0.7,7.1,3.9,16.0,3.2,0.7,25.6,10.7,85,92.0,96.2,0.1,0.9,1.0,-1.8,4.5,2.8,14.9,0.8,1.9,0.5,1.2,0.2,0.7,0.4,0.6,0.1,0.9,0.9,1.3,0.8,0.1,0.8,1.1,2.1
5.0,PG,Devin Askew,RS FR,6-3,198,Kentucky,Texas,2020-21,Kentucky,SEC,25,722,8.8,0.475,0.39799999999999996,1.4,8.2,4.8,18.4,1.8,1.0,22.6,15.0,180,93.9,104.7,0.2,0.7,1.0,-1.2,2.1,0.9,28.9,2.0,5.7,1.4,3.5,0.6,2.2,2.0,2.5,0.4,2.2,2.6,2.9,0.9,0.3,2.0,1.8,6.5
