Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
47,Jordan Brown,JR,2022-23,F,Louisiana,Sun Belt,19,583,30.7,7.4,13.1,7.2,12.3,0.2,0.8,4.7,6.7,2.2,5.6,7.8,2.2,0.7,1.4,3.1,2.9,19.8
48,Lamar Norman,JR,2021-22,G,Western Michigan,MAC,30,1042,34.7,7.0,15.8,3.7,6.8,3.4,9.0,2.4,3.0,0.4,2.7,3.1,1.8,0.8,0.1,2.0,1.3,19.8
49,Mike Bothwell,SR,2022-23,G,Furman,Southern,20,684,34.2,7.1,12.9,5.5,8.4,1.6,4.6,4.0,4.9,1.3,2.2,3.4,3.8,1.1,0.1,2.0,1.8,19.7
50,Johnny Davis,SO,2021-22,G,Wisconsin,Big Ten,31,1060,34.2,6.8,15.9,5.6,12.0,1.2,3.9,5.0,6.3,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7
51,Dalton Knecht,SR,2022-23,G,Northern Colorado,Big Sky,19,676,35.6,6.8,14.6,4.2,8.0,2.7,6.6,3.4,4.2,0.7,6.5,7.3,1.7,0.9,0.5,2.0,1.5,19.7
52,Jameer Nelson,JR,2022-23,G,Delaware,CAA,16,550,34.4,6.5,13.9,4.8,8.6,1.8,5.3,4.9,6.6,1.3,3.7,5.0,3.1,2.5,1.0,2.9,2.3,19.7
53,Teddy Allen,JR,2021-22,F,New Mexico State,WAC,34,1137,33.4,6.3,14.4,4.1,7.9,2.2,6.6,4.8,5.5,1.0,5.7,6.7,2.5,1.2,0.1,2.8,2.3,19.6
54,Tyler Burton,SR,2022-23,F,Richmond,A-10,19,692,36.4,6.7,14.4,4.8,8.6,1.9,5.8,4.2,5.7,1.3,6.5,7.8,1.6,1.7,0.5,2.0,1.6,19.6
55,Mark Sears,SO,2021-22,G,Ohio,MAC,35,1250,35.7,6.2,14.0,4.5,9.8,1.7,4.2,5.4,6.1,2.0,4.0,6.0,4.1,1.7,0.1,3.2,1.9,19.6
56,Jake Stephens,SR,2021-22,C,Virginia Military Institute,Southern,30,995,33.2,6.6,12.0,4.2,7.0,2.5,5.0,3.8,4.8,1.7,7.3,9.0,3.3,0.5,2.0,2.5,2.1,19.6
