Stars,Position,Name,Class,Ht,Wt,Previous School,New School,Season,School,Conf,G,MP,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM,MPG,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2.0,SF,Nana Akenten,RSSR,6-6,215,Southeast Missouri State,Mercer,2021-22,Southeast Missouri State,OVC,29,547,14.6,0.493,0.48700000000000004,4.8,21.6,13.0,6.2,1.9,3.6,7.1,20.1,188,102.6,104.1,0.6,0.6,1.2,-0.3,-1.6,-1.9,18.9,2.5,6.6,1.1,2.3,1.4,4.2,0.7,1.2,0.8,3.4,4.2,0.6,0.7,0.6,0.6,2.2,7.1
2.0,PF,Daniel Akin,RSSR,6-9,225,California Baptist,Utah State,2022-23,Utah State,MWC,35,941,21.2,0.69,0.672,7.1,22.2,15.1,6.6,1.1,2.6,16.0,19.8,380,125.2,100.0,2.9,1.5,4.4,3.1,2.4,5.5,26.9,4.2,6.2,4.1,6.2,0.0,0.0,3.6,5.1,1.5,5.3,6.8,0.9,0.5,0.7,1.7,2.9,12.0
2.0,PF,Daniel Akin,RSSR,6-9,225,California Baptist,Utah State,2021-22,California Baptist,WAC,34,908,19.4,0.602,0.541,8.5,24.9,16.9,11.4,1.6,4.0,20.7,21.5,366,109.0,91.9,1.8,2.1,3.9,-0.8,1.1,0.3,26.7,3.3,6.1,3.3,6.1,0.0,0.0,4.2,6.0,2.0,6.1,8.1,1.5,0.7,1.0,2.4,3.2,10.8
2.0,PF,Kaodirichi Akobundu-Ehiogu,RS JR,6-9,202,UT Arlington,Memphis,2022-23,Memphis,AAC,30,315,15.5,0.6990000000000001,0.738,5.0,12.9,9.2,2.1,0.0,17.5,20.1,10.7,69,117.2,99.7,0.4,0.5,0.9,-0.8,4.6,3.7,10.5,1.0,1.4,1.0,1.4,0.0,0.0,0.5,1.0,0.4,1.3,1.7,0.1,0.0,1.6,0.5,1.3,2.6
2.0,PF,Kaodirichi Akobundu-Ehiogu,RS JR,6-9,202,UT Arlington,Memphis,2021-22,UT Arlington,Sun Belt,29,630,18.5,0.6940000000000001,0.679,8.6,16.4,12.5,3.5,1.3,13.9,19.6,10.0,129,121.5,96.3,1.0,1.2,2.2,-1.9,3.2,1.3,21.7,2.1,3.2,2.1,3.1,0.0,0.0,0.4,0.5,1.7,3.2,4.8,0.4,0.5,2.6,0.8,2.4,4.7
4.0,PF,Akok Akok,RS JR,-10,205,Connecticut,Georgetown,2022-23,Georgetown,Big East,31,932,13.1,0.537,0.522,4.9,18.0,11.3,5.9,1.1,7.1,17.1,12.2,201,102.6,110.2,0.6,0.6,1.2,-0.2,1.6,1.4,30.1,2.6,5.7,1.8,3.0,0.8,2.7,0.5,0.7,1.4,4.8,6.2,1.0,0.6,2.0,1.3,1.6,6.5
4.7,SG,Emmanuel Akot,RSSR,6-8,215,Boise State,Western Kentucky,2022-23,Western Kentucky,CUSA,31,914,12.2,0.499,0.47100000000000003,2.7,11.0,7.0,15.6,1.1,0.9,14.6,20.6,311,99.2,107.9,0.7,0.8,1.5,-1.0,-1.2,-2.1,29.5,3.7,9.0,2.5,5.4,1.2,3.6,1.5,2.1,0.7,3.0,3.7,2.3,0.5,0.2,1.7,1.4,10.0
4.7,SG,Emmanuel Akot,RSSR,6-8,215,Boise State,Western Kentucky,2021-22,Boise State,MWC,31,986,11.9,0.511,0.496,1.2,11.3,6.1,18.4,1.3,1.4,18.9,21.5,327,97.5,97.1,0.7,1.8,2.5,0.6,1.4,1.9,31.8,3.7,9.2,1.9,4.6,1.8,4.6,1.5,2.5,0.3,2.8,3.1,2.8,0.7,0.4,2.4,1.6,10.6
2.0,C,Jonathan Aku,RS SO,-10,263,Stephen F. Austin,Grambling State,2022-23,Grambling,SWAC,32,487,13.0,0.55,0.552,9.8,19.3,14.7,4.5,1.0,5.3,22.3,16.8,138,98.2,90.6,0.3,1.2,1.5,-4.6,0.4,-4.2,15.2,1.7,3.0,1.7,3.0,0.0,0.0,1.0,1.9,1.3,2.7,3.9,0.3,0.3,0.7,1.1,2.2,4.3
2.0,C,Theo Akwuba,SR,-11,225,Louisiana,Ole Miss,2022-23,Mississippi,SEC,31,359,11.7,0.46299999999999997,0.452,9.3,14.9,12.0,3.2,0.8,9.7,17.4,14.7,82,93.3,103.0,0.1,0.5,0.5,-3.5,2.6,-0.8,11.6,1.1,2.4,1.1,2.4,0.0,0.0,0.4,0.8,1.0,1.5,2.4,0.2,0.2,1.0,0.6,1.6,2.5
