Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
50,David Azore,SR,2021-22,G,UT Arlington,Sun Belt,26,899,34.6,6.3,15.4,5.0,11.2,1.3,4.2,6.0,7.1,0.3,4.2,4.5,1.8,0.9,0.1,3.0,2.0,19.8
51,Souley Boum,JR,2021-22,G,UTEP,CUSA,30,1101,36.7,6.0,14.6,3.8,8.8,2.1,5.8,5.7,6.8,0.6,3.9,4.5,2.9,1.8,0.2,2.0,2.0,19.8
52,Julian Champagnie,SO,2020-21,G,St. John's (NY),Big East,25,822,32.9,6.6,15.3,4.2,9.0,2.4,6.3,4.1,4.6,1.6,5.7,7.4,1.3,1.4,1.0,1.9,1.8,19.8
53,Isiaih Mosley,SO,2020-21,F,Missouri State,MVC,24,809,33.7,7.0,13.9,5.6,10.2,1.4,3.7,4.4,5.2,0.6,5.7,6.3,3.1,1.0,0.1,3.4,2.3,19.8
54,Lamar Norman,JR,2021-22,G,Western Michigan,MAC,30,1042,34.7,7.0,15.8,3.7,6.8,3.4,9.0,2.4,3.0,0.4,2.7,3.1,1.8,0.8,0.1,2.0,1.3,19.8
55,Johnny Davis,SO,2021-22,G,Wisconsin,Big Ten,31,1060,34.2,6.8,15.9,5.6,12.0,1.2,3.9,5.0,6.3,1.3,6.9,8.2,2.1,1.2,0.7,2.3,2.0,19.7
56,Matt Lewis,SR,2020-21,G,James Madison,CAA,18,590,32.8,6.1,12.9,3.7,6.7,2.4,6.2,5.2,6.9,0.6,4.1,4.7,3.7,1.4,0.3,1.8,1.7,19.7
57,Teddy Allen,JR,2021-22,F,New Mexico State,WAC,34,1137,33.4,6.3,14.4,4.1,7.9,2.2,6.6,4.8,5.5,1.0,5.7,6.7,2.5,1.2,0.1,2.8,2.3,19.6
58,Mark Sears,SO,2021-22,G,Ohio,MAC,35,1250,35.7,6.2,14.0,4.5,9.8,1.7,4.2,5.4,6.1,2.0,4.0,6.0,4.1,1.7,0.1,3.2,1.9,19.6
59,Jake Stephens,SR,2021-22,C,Virginia Military Institute,Southern,30,995,33.2,6.6,12.0,4.2,7.0,2.5,5.0,3.8,4.8,1.7,7.3,9.0,3.3,0.5,2.0,2.5,2.1,19.6
60,Jahmir Young,JR,2021-22,G,Charlotte,CUSA,31,1111,35.8,6.8,14.5,5.0,9.2,1.8,5.3,4.3,4.8,0.7,5.2,5.9,3.7,1.1,0.5,2.1,1.0,19.6
61,Nah'Shon Hyland,SO,2020-21,G,Virginia Commonwealth,A-10,24,766,31.9,6.3,14.2,3.5,6.4,2.9,7.8,3.9,4.5,0.2,4.5,4.7,2.1,1.9,0.2,3.1,2.2,19.5
62,Graham Ike,SO,2021-22,F,Wyoming,MWC,33,1043,31.6,7.3,14.3,7.2,14.0,0.1,0.3,4.8,6.7,2.8,6.8,9.6,1.3,0.7,0.3,3.3,3.3,19.5
63,Taevion Kinsey,JR,2020-21,G,Marshall,CUSA,22,829,37.7,7.5,14.1,6.6,12.0,0.9,2.1,3.7,4.5,2.0,4.1,6.2,3.0,0.8,0.3,1.9,1.1,19.5
64,Richard Washington,SR,2020-21,G,San Jose State,MWC,16,514,32.1,6.7,16.7,4.1,9.2,2.6,7.5,3.6,4.5,1.4,3.8,5.2,2.2,0.4,0.2,1.9,1.6,19.5
65,Marcus Carr,JR,2020-21,G,Minnesota,Big Ten,29,1038,35.8,6.0,15.6,3.9,9.1,2.1,6.5,5.3,6.7,0.8,3.2,4.0,4.9,1.3,0.1,2.3,2.3,19.4
66,Kendric Davis,SR,2021-22,G,Southern Methodist,AAC,32,1107,34.6,5.8,13.1,3.3,6.6,2.4,6.5,5.5,6.4,0.5,3.3,3.8,4.4,1.5,0.1,2.7,2.1,19.4
67,E.J. Liddell,JR,2021-22,F,Ohio State,Big Ten,32,1062,33.2,6.3,12.9,4.9,9.1,1.4,3.8,5.3,6.9,2.3,5.7,7.9,2.5,0.6,2.6,2.4,2.5,19.4
68,Orlando Robinson,JR,2021-22,F,Fresno State,MWC,36,1196,33.2,7.0,14.4,5.9,11.5,1.0,2.9,4.5,6.3,2.6,5.8,8.4,2.9,1.0,1.2,2.5,2.4,19.4
69,DeVante Jones,JR,2020-21,G,Coastal Carolina,Sun Belt,26,852,32.8,6.4,13.2,4.5,8.0,1.9,5.2,4.6,5.3,1.5,5.6,7.2,2.9,2.8,0.2,2.3,2.5,19.3
70,Zach Nutall,JR,2020-21,G,Sam Houston State,Southland,28,818,29.2,6.9,15.6,4.4,8.9,2.5,6.7,3.1,4.5,0.9,4.8,5.7,1.8,1.0,0.3,3.1,2.0,19.3
71,Danny Pippen,SR,2020-21,F,Kent State,MAC,20,637,31.9,6.6,16.3,4.1,8.3,2.5,8.0,3.8,4.7,2.7,6.0,8.7,2.8,0.8,1.3,3.7,2.4,19.3
72,Jalen Ray,SR,2020-21,G,Hofstra,CAA,23,856,37.2,6.7,15.8,3.9,8.3,2.8,7.5,3.3,3.9,0.6,2.8,3.3,3.3,1.7,0.3,2.1,2.3,19.3
73,Justin Turner,SR,2020-21,G,Bowling Green State,MAC,25,868,34.7,6.6,16.0,5.3,11.6,1.3,4.3,4.9,5.6,0.7,3.6,4.3,4.4,1.5,0.2,1.9,1.8,19.3
74,Buddy Boeheim,SR,2021-22,G,Syracuse,ACC,32,1217,38.0,6.7,16.4,3.9,8.3,2.8,8.1,3.1,3.5,0.6,2.8,3.4,3.1,1.5,0.1,1.8,1.7,19.2
75,Julian Champagnie,JR,2021-22,G,St. John's (NY),Big East,31,1060,34.2,7.1,17.2,5.0,11.0,2.1,6.2,2.9,3.7,1.4,5.3,6.6,2.0,2.0,1.1,1.5,1.5,19.2
76,Tyrn Flowers,SR,2021-22,F,Long Island University,NEC,29,1005,34.7,7.0,15.3,4.0,7.7,3.0,7.7,2.3,3.0,2.2,5.6,7.8,3.2,1.4,1.6,2.4,1.7,19.2
77,Ques Glover,SO,2021-22,G,Samford,Southern,29,903,31.1,7.0,15.0,5.9,11.4,1.1,3.6,4.1,5.2,0.6,2.2,2.8,4.4,1.2,0.0,2.8,2.2,19.2
78,Isaiah Miller,SR,2020-21,G,UNC Greensboro,Southern,29,895,30.9,8.2,17.7,7.8,16.0,0.3,1.7,2.5,4.0,1.5,5.3,6.8,4.0,2.6,0.3,3.0,2.3,19.2
79,David Roddy,JR,2021-22,G,Colorado State,MWC,31,1021,32.9,7.2,12.5,5.7,9.2,1.5,3.4,3.4,4.9,1.8,5.7,7.5,2.9,1.2,1.1,2.3,2.3,19.2
80,Cameron Shelton,JR,2020-21,G,Northern Arizona,Big Sky,22,784,35.6,6.5,15.6,5.4,12.3,1.1,3.3,5.0,6.9,1.1,4.8,5.9,4.2,1.5,0.0,3.3,2.1,19.2
81,Azar Swain,SR,2021-22,G,Yale,Ivy,31,1023,33.0,6.5,15.5,4.2,9.0,2.3,6.5,3.9,4.4,0.4,3.8,4.1,1.6,0.8,0.1,2.3,1.2,19.2
82,Jase Townsend,JR,2020-21,G,Denver,Summit,20,651,32.6,6.4,14.7,4.5,8.9,2.0,5.8,4.4,5.0,0.6,3.6,4.2,2.2,1.1,0.0,2.5,2.5,19.2
83,James Bishop,SO,2020-21,G,George Washington,A-10,17,616,36.2,6.5,15.3,5.1,10.9,1.5,4.4,4.6,6.2,0.4,2.5,2.9,5.1,0.8,0.2,3.6,1.5,19.1
84,Troymain Crosby,SR,2020-21,G,Alcorn State,SWAC,15,440,29.3,6.3,13.7,5.7,11.9,0.5,1.8,6.0,7.3,1.4,4.0,5.4,0.7,1.0,0.0,2.5,3.3,19.1
85,Trayce Jackson-Davis,SO,2020-21,F,Indiana,Big Ten,27,925,34.3,6.8,13.1,6.8,13.1,0.0,0.0,5.6,8.5,3.2,5.8,9.0,1.4,0.7,1.4,2.2,2.1,19.1
86,Taevion Kinsey,SR,2021-22,G,Marshall,CUSA,31,1144,36.9,7.1,16.5,6.5,13.5,0.5,3.0,4.4,5.9,2.2,2.9,5.1,4.2,1.0,0.1,2.7,1.5,19.1
87,Remy Martin,SR,2020-21,G,Arizona State,Pac-12,23,771,33.5,6.1,14.2,4.1,8.3,2.0,5.9,4.8,6.2,0.5,2.3,2.8,3.7,1.2,0.0,2.4,1.6,19.1
88,Grant Sherfield,JR,2021-22,G,Nevada,MWC,28,999,35.7,6.7,15.4,5.1,10.5,1.6,4.8,4.1,4.7,0.2,4.0,4.2,6.4,0.6,0.0,3.3,2.0,19.1
89,Tyler Thomas,SO,2020-21,G,Sacred Heart,NEC,17,620,36.5,6.4,16.1,3.6,7.8,2.8,8.4,3.6,4.4,1.6,3.6,5.2,2.9,0.8,0.5,2.8,1.2,19.1
90,Jeenathan Williams,SR,2021-22,F,Buffalo,MAC,29,946,32.6,7.5,15.3,5.4,10.7,2.1,4.6,2.1,3.0,1.1,3.9,5.0,2.9,1.4,0.8,2.9,1.4,19.1
91,Kendric Davis,JR,2020-21,G,Southern Methodist,AAC,17,589,34.6,6.7,13.9,5.2,10.0,1.5,3.9,4.1,4.9,0.5,3.7,4.2,7.6,1.6,0.1,2.4,1.6,19.0
92,Bryce Fowler,SR,2021-22,G,Sacramento State,Big Sky,29,971,33.5,7.5,15.0,6.8,13.0,0.7,2.0,3.4,4.9,0.9,4.3,5.3,4.0,1.4,0.3,2.4,2.3,19.0
93,A.J. Plitzuweit,SO,2020-21,G,South Dakota,Summit,22,754,34.3,6.0,13.3,3.7,7.8,2.4,5.5,4.5,5.0,0.6,3.5,4.2,3.9,1.0,0.1,2.3,2.9,19.0
94,Drew Timme,SO,2020-21,F,Gonzaga,WCC,32,901,28.2,7.4,11.3,7.2,10.7,0.2,0.7,4.0,5.8,2.3,4.8,7.0,2.3,0.7,0.7,1.8,2.3,19.0
95,Keaston Willis,SO,2020-21,G,Incarnate Word,Southland,20,676,33.8,6.3,14.7,4.2,9.1,2.1,5.6,4.4,5.8,0.5,4.0,4.5,2.1,1.2,0.1,2.6,2.0,19.0
96,Fardaws Aimaq,SO,2021-22,F,Utah Valley,WAC,32,1101,34.4,6.9,14.2,6.3,12.7,0.6,1.4,4.4,6.1,3.0,10.6,13.6,1.7,0.7,1.3,3.0,2.7,18.9
97,Jose Perez,SR,2021-22,G,Manhattan,MAAC,30,996,33.2,5.9,14.9,5.0,11.1,1.0,3.7,6.1,7.6,0.7,2.5,3.2,4.5,0.8,0.4,3.3,1.6,18.9
98,Ryan Rollins,SO,2021-22,G,Toledo,MAC,34,1111,32.7,6.8,14.6,5.4,10.1,1.4,4.4,3.8,4.8,0.7,5.3,6.0,3.6,1.7,0.3,2.2,2.4,18.9
99,Cam Spencer,JR,2021-22,G,Loyola (MD),Patriot,30,1108,36.9,6.9,14.8,5.0,9.2,2.0,5.6,3.0,3.5,0.5,4.3,4.8,3.2,2.3,0.2,1.3,1.5,18.9
100,Ochai Agbaji,SR,2021-22,G,Kansas,Big 12,39,1367,35.1,6.6,13.9,4.0,7.4,2.6,6.5,2.9,3.9,0.8,4.2,5.1,1.6,0.9,0.6,2.1,1.7,18.8
